Company,Connection_Count,SWE,Data_Analyst,Data_Engineer,Data_Scientist_ML,Total_Matched,Recommended_Count,Recommended_Titles,Last_Scanned,Scan_Notes
Amazon,3,0,0,0,0,0,2,"Jr. Software Development Engineer - Sunnyvale, CA, Jr. Developer Program | Posted",2026-05-20T09:30:03Z,carousel via selector section:has-text('Recommended jobs'); filtered 3 senior role(s)
Amazon Web Services (AWS),4,0,0,0,1,1,3,"Software Development Engineer | Posted | Applied Scientist III, AWS Elemental",2026-05-20T09:29:35Z,carousel via selector section:has-text('Recommended jobs'); filtered 2 senior role(s)
Apple,5,0,0,0,0,0,0,,2026-05-20T09:28:36Z,no recommended jobs found
Applied Materials,2,2,0,0,0,2,5,Software Engineer || | Posted | GPS Engineer II | Technical Configuration Management | Software Engineer lll - (E3),2026-05-20T09:31:03Z,carousel via selector section:has-text('Recommended jobs')
Arteris,5,0,0,0,0,0,0,,2026-05-20T09:28:50Z,no recommended jobs found
Entegris,2,0,0,0,0,0,0,,2026-05-20T09:31:18Z,no recommended jobs found
Google,5,0,0,0,0,0,2,Image Processing Engineer | Posted,2026-05-20T09:29:06Z,carousel via selector section:has-text('Recommended jobs'); filtered 3 senior role(s)
Honeywell,4,1,0,0,0,1,5,Software Engineer & Computer Science - Recent Grad/Full Time | Posted | Field Engineer II - Turbo Machinery Control Systems | Field Engineer I - Turbo Machinery Controls Systems | Travel Field Service Programmer - HVAC Controls and Commissioning (Chicago/Des Plaines IL),2026-05-20T09:29:49Z,carousel via selector section:has-text('Recommended jobs')
KLA,2,0,0,0,0,0,0,,2026-05-20T09:31:32Z,no recommended jobs found
MacDermid Alpha Electronics Solutions,3,0,0,0,0,0,0,,2026-05-20T09:30:16Z,no recommended jobs found
Mariana Minerals,2,0,0,0,0,0,6,Posted | Project Engineering Intern | Mariana Minerals has 68 posted jobs | Cameron Gifford | Dongyang Xu | See all employees on LinkedIn,2026-05-20T09:31:45Z,carousel via selector section:has-text('Recommended jobs'); filtered 1 senior role(s)
Meta,3,0,0,0,2,2,5,"AI Research Engineer | Posted | Research Scientist Intern, Silicon Performance Architecture (PhD) | Research Scientist Intern, Photorealistic Telepresence (PhD) | Postdoctoral Researcher, Fundamental AI Research (PhD)",2026-05-20T09:30:31Z,carousel via selector section:has-text('Recommended jobs')
Microsoft,3,1,0,0,0,1,2,Software Engineer II | Posted,2026-05-20T09:30:47Z,carousel via selector section:has-text('Recommended jobs'); filtered 3 senior role(s)
NVIDIA,2,0,0,0,0,0,2,Product Development Engineer | Posted,2026-05-20T09:32:01Z,carousel via selector section:has-text('Recommended jobs'); filtered 2 senior role(s)
Oracle,5,0,0,0,0,0,2,AI Platform Reliability Engineer | Posted,2026-05-20T09:29:20Z,carousel via selector section:has-text('Recommended jobs'); filtered 3 senior role(s)
PayPal,2,1,0,0,0,1,2,Software Engineer | Posted,2026-05-20T09:32:16Z,carousel via selector section:has-text('Recommended jobs'); filtered 2 senior role(s)
Sila Nanotechnologies Inc.,2,0,0,0,0,0,0,,2026-05-20T09:32:28Z,no recommended jobs found
